,Phone_names,Links
0,"REDMI 10 Power (Power Black, 128 GB)",https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm17561f2c0c6b6?pid=MOBGSYMFPHKSJTWH&lid=LSTMOBGSYMFPHKSJTWHMK8VKQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGSYMFPHKSJTWH.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
1,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-purple-mist-128-gb/p/itmbfcb7e0ad00a9?pid=MOBGSYMFRGX5FCXM&lid=LSTMOBGSYMFRGX5FCXMCSAWRW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGSYMFRGX5FCXM.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
2,"Mi 11 Lite (Vinyl Black, 128 GB)",https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR9UUSWD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG3VSKRKGZKJAR.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
3,"REDMI Note 11T 5G (Stardust White, 64 GB)",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-64-gb/p/itm0dd08e65983e7?pid=MOBG9G59GCZH5N2Y&lid=LSTMOBG9G59GCZH5N2YYJTNHV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9G59GCZH5N2Y.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
4,"Redmi 9A Sport (Metallic Blue, 32 GB)",https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFXX4VJAC9&lid=LSTMOBGHDXFXX4VJAC9K86CT1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFXX4VJAC9.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
5,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-stealth-black-128-gb/p/itm97d42c04adb37?pid=MOBG9QWVBZXY8DNU&lid=LSTMOBG9QWVBZXY8DNUUDDX4R&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9QWVBZXY8DNU.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
6,"Redmi 9A Sport (Coral Green, 32 GB)",https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFKYSE5TPK&lid=LSTMOBGHDXFKYSE5TPKLXLPC7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFKYSE5TPK.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
7,"Redmi 9A Sport (Carbon Black, 32 GB)",https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFS8EKH8GK&lid=LSTMOBGHDXFS8EKH8GK5CKZVM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFS8EKH8GK.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
8,"Redmi Note 7S (Onyx Black, 64 GB)",https://www.flipkart.com/redmi-note-7s-onyx-black-64-gb/p/itm635484710fb94?pid=MOBFXENWJXQBRKG2&lid=LSTMOBFXENWJXQBRKG2GMA919&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBFXENWJXQBRKG2.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
9,"Mi 10i (Midnight Black, 128 GB)",https://www.flipkart.com/mi-10i-midnight-black-128-gb/p/itm780df69dfa0fe?pid=MOBFZ4RUZH3GPEGE&lid=LSTMOBFZ4RUZH3GPEGE09K5LQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBFZ4RUZH3GPEGE.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
10,"Xiaomi 11Lite NE (Jazz Blue, 128 GB)",https://www.flipkart.com/xiaomi-11lite-ne-jazz-blue-128-gb/p/itme80f8cab932f2?pid=MOBG7F6CVZ77CEEC&lid=LSTMOBG7F6CVZ77CEECRSIACP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG7F6CVZ77CEEC.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
11,"Mi A2 (Lake Blue, 128 GB)",https://www.flipkart.com/mi-a2-lake-blue-128-gb/p/itmfghsgu6qkezgq?pid=MOBFF7A53WRRXZXH&lid=LSTMOBFF7A53WRRXZXHNP1DSX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBFF7A53WRRXZXH.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
12,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-pacific-pearl-128-gb/p/itmb3d0ee43f7150?pid=MOBG9QXPV7WAJBXB&lid=LSTMOBG9QXPV7WAJBXB7O9ETZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9QXPV7WAJBXB.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
13,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)",https://www.flipkart.com/xiaomi-12-pro-5g-noir-black-256-gb/p/itm67bddf0d43d59?pid=MOBGDZ84RS67ZTEP&lid=LSTMOBGDZ84RS67ZTEPVWOBEX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGDZ84RS67ZTEP.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
14,"REDMI Note 11 Pro (Phantom White, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFUUKAHQR3&lid=LSTMOBGHDXFUUKAHQR38VB9IF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFUUKAHQR3.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
15,"REDMI 10 Power (Power Black, 128 GB)",https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVVMTREX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
16,"REDMI 10 Power (Sporty Orange, 128 GB)",https://www.flipkart.com/redmi-10-power-sporty-orange-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFV9PCSYXV&lid=LSTMOBGHDXFV9PCSYXVGS1TJE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFV9PCSYXV.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
17,"Redmi 8A (Sunset Red, 32 GB)",https://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itm5474ed67d23bf?pid=MOBFKF98FTTEN832&lid=LSTMOBFKF98FTTEN8329SM1ZY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBFKF98FTTEN832.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
18,"Mi 11 Lite (Jazz Blue, 128 GB)",https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itmac6203bae9394?pid=MOBG3VSKQMCRP5CR&lid=LSTMOBG3VSKQMCRP5CRL7W4YT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG3VSKQMCRP5CR.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
19,"12 (Black, 128 GB)",https://www.flipkart.com/12-black-128-gb/p/itm52eeb140d6985?pid=MOBGSGXB2TFGMTYY&lid=LSTMOBGSGXB2TFGMTYYFVM3GN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGSGXB2TFGMTYY.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
20,"Xiaomi 11i 5G (Purple Mist, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-purple-mist-128-gb/p/itmb0fd5926fb0d5?pid=MOBG9QXPXZTUYDY8&lid=LSTMOBG9QXPXZTUYDY8TLZOCE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9QXPXZTUYDY8.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
21,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-pacific-pearl-128-gb/p/itme4127956af8b6?pid=MOBG9QWVEVKFSSHJ&lid=LSTMOBG9QWVEVKFSSHJMVGKZ8&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9QWVEVKFSSHJ.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
22,"Xiaomi 11i 5G (Camo Green, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-camo-green-128-gb/p/itm5e173fdb5d441?pid=MOBG9QXPP5QRZZ3P&lid=LSTMOBG9QXPP5QRZZ3PBZMUHV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBG9QXPP5QRZZ3P.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
23,"Redmi 9A Sport (Carbon Black, 32 GB)",https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFDH2AYAPY&lid=LSTMOBGHDXFDH2AYAPYPN5EFU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=CLP_Filters&fm=organic&iid=e93ad3ce-3564-4547-8901-9937eb2cdfe2.MOBGHDXFDH2AYAPY.SEARCH&ppt=None&ppn=None&ssid=5fxw8c6gcw0000001700749476942
